"Concert Band Vooruit","41","Belgien","Harmonieorkest »Vooruit« Harelbeke / Geert Verschaeve","""Candide: Ouvertüre (Leonard Bernstein); De Elzenkoning (Paul Benoit); Impromptu (August De Boeck); Capriccio italien (Pjotr Iljitsch Tschaikowsky); Intermezzo (Roger Roger); Trumpet Rhapsody (Harry James); Symphonie brillante (Ida Gotkovsky); Un poco Cinco (John Fluck)""","","","Ja"
"Concertopéra","42","Belgien","Belgisches Luftwaffenmusikkorps / verschiedene Dirigenten","""Cortège Burlesque (Emanuel Chabrier / Arr. Jean Brouquières); Concerto No. 1 (Carl Maria von Weber / Arr. Roger Boutry); Saxs en Parallèle (Alain Crépin); Carabosse (Marcel Chapuis); Cosmographie (Charles Beck); Starmania (Michel Berger / Arr. Jerôme Naulais); La Javanaise (Serge Gainsbourg / Arr. Jerôme Naulais); La Mer (Trenet / Arr. Poutoire); Un Homme et une Femme (Francis Lai / Arr. Jerôme Naulais)""","","","Ja"
"Daniel in the Lion's Den ","5","Gemischte Aufnahmen","Arizona State University Symphonic Band / Richard Strange","Daniel in the Lion's Den (William Francis McBeth)","usathelionsden.jpg","","Ja"
"De Verleiding","44","Belgien","Harmonieorkest »Vooruit« Harelbeke / Geert Verschaeve","""El Gato Montès (Manuel Penella); Estructuras Isorritmicas (Eduardo Montesinos Comas); Himno à Valencia (José Serrano); Habanera (Jan Decadt / Arr. Wim Belaen); Alvas Einzug in Brüssel (Peter Benoit / Arr. Jos Moerenhout); Halewyn (Willem Kersters / Arr. Martin Koekelkoren); Toccata in d-Moll (J.S. Bach / Arr. Ray Farr, Kevin Lamb); Pavane pour une Infante défunte (Maurice Ravel / Arr. Clair W. Johnson); Trittico (Vaclav Nelhybel); Lover's Prayer (Roland Cardon)""","bverleiding.jpg","","Ja"
"Drawing Down the Moon – Wind Music of Donald Erb","6","Gemischte Aufnahmen","University Circle Wind Ensemble / Gary Ciepluch","Cenotaph (for E.V.), Symphony for Winds","mixdrawingdown.jpg","","Ja"
"Due Pitture","45","Belgien","Harmonieorkest »Vooruit« Harelbeke / Geert Verschaeve","""Due Pitture (Roland Coryn); Bilder einer Ausstellung: Das große Tor von Kiew (Modest Mussorgsky / Arr. Mark Hindsley); Introduktion, Thema und Variationen (Gioacchino Rossini); Romeo und Julia (Pjotr Iljitsch Tschaikowsky); A Tribute to Harry James (Eric Coates)""","bduepitture.jpg","","Ja"
"Earthquake","46","Belgien","Ad hoc wind orchestra / verschiedene Dirigenten","""Olympic Fanfare and Theme (John Williams / Arr. Pascal Devroye); D'Schangflöppen (Trevor Ford / Arr. Louis Martinus); Larghetto religioso (Paul Sana); Earthquake (Bruno Herff); 2 Sätze aus »Ten romantic moods« (Hardy Mertens / Arr. Louis Martinus); Virtuosity (Kenny Baker / Arr. José Schyns); Unchained Melody (North, Zareth / Arr. Roland Smeets); Clarinet Express (Jean Herzet); Sister Act: I will follow him (J. Plante u.a./ Arr. Roland Smeets); Psalm 141 (Jules van Nuffel / Arr. Pascal Devroye); Noel (Arr. Dominique Wyckhuys); Brasil festival (Dominique Wyckhuys); Symphony No. 1 – Voice of Mind: Rondo Skolion (Hardy Mertens / Arr. Louis Martinus)""","belearthquake.jpg","","Ja"
"Flanders' Ambassador","48","Belgien","Harmonieorkest »Vooruit« Harelbeke / Geert Verschaeve","""Onyx (Elias Gistelinck); Five Concert Preludes (Roland Coryn); Concertino (Maurice Faillenot); Tango Fandango (Warren Barker); Camille (André Waignein); Clarinet Candy (Leroy Anderson / Arr. Siegfried Rundel); Symphonic Rhapsody for Euphonium (Edward Gregson / Arr. Wim Belaen); Trombone Country (James Christensen); Jazz Suite No. 2: Waltz No. 2 (Dmitrij Schostakowitsch / Arr. André Waignein); Leichte Kavallerie: Ouvertüre (Franz von Suppé / Arr. Rogister)""","bharelambass.jpg","","Ja"
"Flashlight","49","Belgien","Kempisch Jeugd Fanfare Orkest / Manu Mellaerts","""Flashlight (Jan Van Der Roost); Trittico (James Curnow / Arr. Manu Mellaerts); A Bamberg Fantasy (Ben Haemhouts); Hail Nero (Miklos Rosza / Arr. S. Verhaert); Pini di Roma: Pini della Via Appia Roma (Ottorino Respighi / Arr. Manu Mellaerts); The Rose (Amanda MacBroom / Arr.Juri Briat); Il Barbiere di Seviglia (Gioacchino Rossini / Arr. Manu Mellaerts); March Mover (Juri Briat); Mission Impossible (Lalo Schiffrin / Arr. Toshio Mashima); Resurgam (Eric Ball); The Last Song (Ben Haemhouts)""","belflashlight.jpg","","Ja"
"Gratitude","50","Belgien","Brass Band Midden Brabant / Jean Baily","Kompositionen von André Waignein: Apassionato / Prelude / Reminiscencia Gitana / 2. und 3. Satz aus Three Movements / Music for Fun / Camille sowie 1 Stück für 8 Trompeten","","","Ja"
"Guillaume Lekeu – Oeuvres orchestrales (II)","7","Gemischte Aufnahmen","Konzertblasorchester der Königlichen Musik der Gidsen / Norbert Nozy","Introduction et Adagio (pour tuba et orchestre d'harmonie","","","Ja"
