"Andel's Wind Band Series Vol. 3","32","Belgien","Eurosound ES 47.196","Der Verlag Andel aus Oostende ist ein traditionsreiches Haus, das in seinen heutigen Ausgaben ein großes blasmusikalisches Spektrum vertritt und sich zunehmend international orientiert, vor allem in Bezug auf die Einspielung seiner Verlags-CDs: Vol. 4 der »Andel's Wind Band Series« wurde unter dem Titel »Hello« in den USA mit der Symphonic Band der University of Northern Texas produziert. Interpret der jüngsten Einspielung »Laudi Spirituale« ist das Zentralorchester der Armee Litauens.","bandel3","KOB","Carpe Diem Musikverlag","45,00","ES47.196","","","","Andel","23.01","1:08:19"
"Andel's Wind Band Series Vol.1","33","Belgien","Eurosound ES 46.956","","bandel1","KOB","Carpe Diem Musikverlag","45,00","ES46.956","","","","Andel","23.01","1:09:07"
"Atlanta '96","1594","Belgien","De Haske-Records DHM 1.012.3","","belatlanta96","KOB","De Haske","35,00","1.012-3","","","","Haske","17.9",""
"Barcelona '92 ","34","Belgien","Mitropa-CD 92.004","","bbarcelona92","KOB","","","","","","","Haske","","0:55:44"
"Belgian Works for Symphonic Band I","1595","Belgien","Gailly CD 87 047","Fast jeder Komponist auf den beiden CDs »Belgian Works for Symphonic Band« gehört zu den führenden »klassischen« Tonsetzern Belgiens. Wollte man eine ähnliche CD mit deutschen oder deutsch-österreichischen Komponisten gleichen Kalibers zusammenstellen – und das Projekt »Donaueschingen 1926« des Landesblasorchesters Baden-Württemberg außen vor lassen -, dann müßte man lange suchen.","bsymphonicband","KOB","Carpe Diem Musikverlag","39,90","CD87047","","","","Gailly","20.4",""
"Belgian Works for Symphonic Band II","1596","Belgien","Gailly CD 87 057","Fast jeder Komponist auf den beiden CDs »Belgian Works for Symphonic Band« gehört zu den führenden »klassischen« Tonsetzern Belgiens. Wollte man eine ähnliche CD mit deutschen oder deutsch-österreichischen Komponisten gleichen Kalibers zusammenstellen – und das Projekt »Donaueschingen 1926« des Landesblasorchesters Baden-Württemberg außen vor lassen -, dann müßte man lange suchen.","belgbelgianworksvol2","KOB","Carpe Diem Musikverlag","39,90","CD87057","","","","Gailly","20.4",""
"Brugge","1597","Belgien","De Haske Records 1.018","","belbrugge","KOB","De Haske","35,00","1.018-3","","","","Haske","17.9",""
"Carnival","35","Belgien","Hafabra","","bcarnival","KOB","Carpe Diem Musikverlag","39,90","ES47.209","","","","Hafabra","20.4","1:05:11"
"Cartoon","36","Belgien","Ann Liekens","Solide Produktion eines Vereinsorchesters aus der Nähe von Antwerpen, das inzwischen nach Harelbeke in Belgien zu den besten seiner Zunft zählt.","bcartoonwommelgem","KOB","","","","","","","Liekens","",""
"Ceciliade","37","Belgien","Beriato","Dies ist eine CD des Beriato-Verlages. Näheres dazu unter den Anmerkungen zur CD »Flashlight«.","belceciliade","KOB","Carpe Diem Musikverlag","39,90","WSR002","","","","Beriato","20.4",""
"Cercle Musicale","38","Belgien","Kelmis","Klanglich abgerundete Einspielung eines der führenden Orchester aus dem deutschsprachigen Belgien.","bkelmis","KOB","","","","","","","Kelmis","",""
"Clarinando","39","Belgien","Mitropa-CD 91.002","","","KOB","","","","","","","Haske","",""
"Concert Band Vooruit","40","Belgien","ED","Klingende Werkschau ausgewählter Kompositionen von Werner Brüggemann. Der im August 1997 verstorbene Wahl-Österreicher und das belgische Spitzenorchester lernten sich 1991 bei der WASBE--Konferenz in Manchester kennen. Wenn die Aufnahme einen gelegentlich uninspirierten Eindruck macht, dann vor allem aufgrund der Tatsache, dass das Orchester nie so recht zu einem wirklichen »Anwalt« von Brüggemanns Musik wurde.","bharelbruegg","KOB","","","","","","","ED","",""
"Concert Band Vooruit","41","Belgien","Staaf Devolder ","Das belgische Konzertblasorchester Vooruit wurde mit dem Titel »Musikbotschafter Flanderns« ausgezeichnet. Zurecht, denn seine regelmäßig erscheinenden CD-Einspielungen gelten als Spiegelbild der Blasmusikpflege in Belgien und vermitteln einen Einblick in die Leistungsfähigkeit des Amateurblasmusikwesens bei unseren Nachbarn. In seinen ansprechenden Produktionen bilden Werke belgischer Komponisten und sinfonische Blasmusik einen Schwerpunkt, vielfach werden auch leistungsstarke Solisten präsentiert. ","","KOB","","","","","","","Devolder","",""
"Concertopéra","42","Belgien","IL 660","","","KOB","","","","","","","IL	","",""
"Concertos for Saxophone and Symphonic Band","1598","Belgien","Gailly CD 87 094","Diese CD ist ein Muss für angehende Berufs-Saxofonisten, die ihr solistisches Repertoire mit gehaltvollen Stücken erweitern wollen.","belsoncertossaxophone","KOB","Carpe Diem Musikverlag","39,95","CD87094","","","","Gailly","20.43",""
"Christmas around the World – Winds and Voices 2","43","Belgien","Molenaar-CD 31.1049.72","","bchristmasaround","KOBWEI","Molenaar Edition BV","37,50","31.1049.72","","","","Molenaar","19.17",""
"Darius Milhaud – Auguste De Boeck – Georges Bizet – Béla Bartók – Enrique Granados ","1599","Belgien","Gailly CD 86 018","Diese Neuauflage einer großartigen LP zeigt den früheren Chefdirigenten der Gidsen, Yvon Ducène, am Pult des Brüsseler Eliteorchesters. Mit Ausnahme der Milhaud-Suite dominiert hier die große Transkription. Die ursprüngliche LP war eine besondere Rarität, denn sie war auf dem gelben Klassiklabel der Deutschen Grammophon Gesellschaft vertrieben worden – in Deutschland schlichtweg undenkbar.","bdariusmilhaud","KOB","Carpe Diem Musikverlag","39,90","CD86018","","","","Gailly","20.4",""
"De Verleiding","44","Belgien","Staf Devolder ","Diese Aufnahme entstand kurz nach dem ersten Auftritt des Orchesters beim »Certamne« in Valencia, daher auch der spanisch dominierte Anfang.","bverleiding","KOB","","","","","","","Devolder","",""
"Due Pitture","45","Belgien","Staf Devolder","","bduepitture","KOB","","","","","","","Devolder","",""
"Dunamis","1600","Belgien","De Haske-Records DHM 4001.3","","bdunamis","KOB","De Haske","35,00","4.001-3","","","","Haske","17.9",""
"Earthquake","46","Belgien","Hafabra","","belearthquake","KOB","Carpe Diem Musikverlag","39,90","ES47.243","","","","Hafabra","20.4",""
"Excalibur ","1601","Belgien","De Haske-Records 3.005","","bexcalibur","BRB","De Haske","35,00","3.005-3","","","","Haske","17.9",""
"Festive Overtures","1602","Belgien","Gailly CD 87 105","","bfestouv","KOB","Carpe Diem Musikverlag","39,90","CD87105","","","","Gailly","20.4",""
"Festivity","1603","Belgien","Mitropa-CD 95.008","","belfestivity","KOB","De Haske","35,00","95.008","","","","Haske","17.9",""
"Fiesta ","1604","Belgien","De Haske Records DHM 1.014","","belfiesta","KOB","De Haske","35,00","1.014-3","","","","Haske","17.9",""
"Firestorm","1605","Belgien","De Haske-Records DHM 4002.3","Mit »Firestorm« und »Oscar for Amnesty« sind zwei hochinteressante Werke mit zeitgeschichtlichem Einfluss vertreten. Die Ausführenden garantieren für eine erstklassige Interpretation.","belfirestorm","KOB","De Haske","35,00","4.002-3","","","","Haske","17.9",""
"Firework","1606","Belgien","De Haske-Records DHM 3012.3","","bfirework","BRB","De Haske","35,00","3.012-3","","","","Haske","17.9",""
"Flanders Music for Harmony Orchestra","1607","Belgien","Gailly CD 87 012","Dies war die erste CD von inzwischen etwa 30, die Norbert Nozy, seit 1985 im Amt, mit den Gidsen eingespielt hat. Die Tradition des Orchesters, in erster Linie einheinische Musik zu pflegen, wird hier auf hervorragende Weise fortgeführt.","bflandersmusic","KOB","Carpe Diem Musikverlag","39,90","CD87012","","","","Gailly","20.4",""
"Flanders' Ambassador","48","Belgien","Staf Devolder ","","bharelambass","KOB","","","","","","","Devolder","",""
"Flashlight","49","Belgien","Beriato","Dies ist eine »partiielle Verlags-CD«, da nur die Stücke Nr. 3, 4, 6, 8 und 11 aus der Porduktion eines bestimmten Verlages kommen: Es ist der Verlag Beriato, der in erster Linie jungen belgischen Komponisten eine Chance geben möchte. Verlagsgründer Ben Haemhouts ist hauptberuflich Posaunist bei den Bamberger Symphonikern.","belflashlight","KOB","Carpe Diem Musikverlag","39,90","500.049","","","","Beriato","20.4",""
"Franz Constant","1608","Belgien","Gailly CD 87 082","","bconstant","KOB","Carpe Diem Musikverlag","39,90","CD87082","","","","Gailly","20.4",""
"Full Spectrum","1609","Belgien","Curnow Records CR 198.001","Auch wenn sich der Titel der CD auf eine der hier eingespielten Kompositionen bezieht: Hier ist wirklich fast das ganze Spektrum der Blasmusik abgedeckt. Es reicht von anspruchsvollen Werken mit zeitgeschichtlichem Bezug (»And The Multitude...«) bis hin zu zweifelhaften Bearbeitungen wie »The Magical Mozart« oder dem Finale aus Beethovens 5. Sinfonie.","belfullspectrum","KOB","De Haske","35,00","198.001","","","","Curnow","17.9",""
"Golden Jubilee of the Belgian Air Force","1610","Belgien","Gailly CD 87 124","Musik der belgischen Luftwaffe zu einem festlichen Anlaß: Einige konzertante Werke, deren Bezug zu diesem Ereignis allerdings nicht notwendigerweise klar wird, sowie die offiziellen Märsche dieser Teilstreitkraft bilden den Inhalt der CD. Man muß sich darüber hinaus die Frage stellen, ob das Adagio aus Beetovens »Pathétique« wirklich sein mußte. In den Märschen liegt denn auch das Besondere an dieser Produktion, denn der traditionelle »Marschpfad« wurde hier verlassen zugunsten von neuen musikalischen Ideen.","belthegoldenjubilee","KOB","Carpe Diem Musikverlag","39,90","CD87124","","","","Gailly","20.4",""
"Gratitude","50","Belgien","De Haske Records (ohne Nummer)","","","BRB","","","","","","","Haske","",""
"Ida Gotkovsky – Works for Symphonic Band III","1611","Belgien","Gailly CD 87 132","","bgotkovskyorat","KOB","Carpe Diem Musikverlag","39,90","CD87132","","","","Gailly","20.4",""
"Ida Gotkovsky – Works for Symphonic Band I","51","Belgien","Gailly CD 87 037","","bgotkovskyworks1","KOB","Carpe Diem Musikverlag","39,90","CD87037","","","","Gailly","20.4",""
"Ida Gotkovsky – Works for Symphonic Band II","1612","Belgien","Gailly CD 87 058","","bgotkovsky","KOB","Carpe Diem Musikverlag","39,90","CD87058","","","","Gailly","20.4",""
"Igor Strawinsky","1613","Belgien","Gailly CD 87 127","","beligorstrawinsky","KOB","Carpe Diem Musikverlag","39,90","CD87127","","","","Gailly","20.4",""
"Jean Absil – Works for Symphonic Band","1614","Belgien","Gailly CD 87 096 ","","babsil","KOB","Carpe Diem Musikverlag","39,90","CD87096","","","","Gailly","20.4",""
"Johann Sebastian Bach","1615","Belgien","Gailly CD 87 025","","bgidsenbach","KOB","Carpe Diem Musikverlag","39,90","CD87025","","","","Gailly","20.4",""
"Kleine Perlen großer Meister","52","Belgien","Arnold Zinzen","Einer der führenden Musikvereine aus der deutschsprachigen Region überzeugt mit einer liebevoll gemachten CD, in der man offenbar bewußt nicht an die obere Grenze der eigenen Leistungsfähigkeit gegangen ist. Ergebnis: ein freies und ungezwungenes Musizieren, das auch die weitgehend bekannten Stücke nie langweilig klingen läßt.","bkleineperlen","KOB","","","","","","","Zinzen","",""
"Königlicher Musikverein St. Cäcilia Ouren","53","Belgien","E. Steils ","","bcaeciliaouren","KOB","","","","","","","Steils","",""
"Largo al Factotum – Tierolff for Band No. 6","54","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Manhattan Pictures","1616","Belgien","De Haske-Records DHM 4004.3","","bmanhattan","KOB","De Haske","35,00","4.004-3","","","","Haske","17.9",""
"Mid-West 50","1617","Belgien","Curnow Records CR 97007","","belmidwest50","KOBWEI","De Haske","35,00","CR97.007-3","","","","Curnow","17.9",""
"Momento Sinfonico","56","Belgien","MUMU 3011 ","","","KOB","","","","","","","MUMU","",""
"Muziekkapel van de Belgische Zeemacht","57","Belgien","Pyramid P. 9011 CDT","","","KOB","","","","","","","Pyramid","",""
"Nemu-Susato","1618","Belgien","De Haske Records 4.005-3","","bnemususato","KOB","De Haske","35,00","4.005-3","","","","Haske","17.9",""
"New Compositions for Concertband 12 – Sculptures of an Exhibition","1501","Belgien","Molenaar-CD 31.1034.72","","bmolcomp12","KOB","Molenaar Edition BV","37,50","31.1034.72","","","","Molenaar","19.17",""
"New Compositions for Concertband 16 – Charleston Forever","1573","Belgien","Molenaar-CD 31.1041.72","","bcharleston","KOB","Molenaar Edition BV","37,50","31.1041.72","","","","Molenaar","19.17",""
"Nuts","1619","Belgien","Gailly CD 87 076","","bnuts","KOB","Carpe Diem Musikverlag","39,90","CD87076","","","","Gailly","20.4",""
"On the Bandstand","1620","Belgien","De Haske-Records DHM 1010-3","","belonthebandstand","KOB","De Haske","35,00","1.010-3","","","","Haske","17.9",""
"Overture to a New Age","1621","Belgien","De Haske DHR 198.098","","boverturetoanewage","KOB","De Haske","35,00","198.008","","","","Haske","17.9",""
"Paso Dorada – Tierolff for Band 5","59","Belgien","Tierolff","","","KOB","","","","","","","Tierolff","",""
"Pjotr I. Tschaikowsky","1622","Belgien","Gailly CD 87 048","","btschaik","KOB","Carpe Diem Musikverlag","39,90","CD87048","","","","Gailly","20.4",""
"Pop and Swing","60","Belgien","Schorer","","bpopandswing","KOB","","","","","","","Schorer","",""
"Portrait of Jacqueline Fontyn","1623","Belgien","World Wind Music WWM 500.035, auch Molenaar MBCD 31.1059.72","Norbert Nozy und seine Gidsen zeigen sich hier erneut als kompetenter Anwalt zeitgenössischer Blasmusik erster Güte. Die Belgierin Jacqueline Fontyn (geb. 1930) zählt derzeit neben der Französin Ida Gotkovsky – die Gidsen haben inzwischen mehrere CDs mit ihrer Musik eingespielt – zu den führenden europäischen Komponistinnen die derzeit halbwegs regelmäßig auch für Blasorchester schreiben","belgjacquelinefontyn","KOB","Carpe Diem Musikverlag","39,90","WWM500.035","","","","WWM","20.4",""
"Privilège","61","Belgien","IL 761 ","","bprivilège","KOB","","","","","","","IL	","",""
"Reed - Absil - Dukas - Gershwin - Hansotte - Thijssen","1624","Belgien","Gailly CD 87 056","Ex-NATO-Generalsekretär Willy Claes, der eigentlich Berufsmusiker hatte werden wollen, trat hier als Gastdirigent bei Gershwins »Amerikaner in Paris« (vollständige Aufnahme) in Aktion.","breedabsildukas","KOB","Carpe Diem Musikverlag","39,90","CD87056","","","","Gailly","20.4",""
"Rendezvous","1625","Belgien","De Haske-Records 3.014","","belbennywiame","BRB","De Haske","35,00","3.014-3","","","","Haske","17.9",""
"René Defossez","1626","Belgien","Gailly CD 86 016","Digitalisierte Neuveröffentlichung eines Stücks, das es in seinene Ausmassen locker mit Johan de Meijs »Herr der Ringe« aufnehmen kann. Die Tonsprache und die verwendeten Mittel von Defossez sind jedoch weitaus moderner.","bdefossez","KOB","Carpe Diem Musikverlag","39,90","CD86016","","","","Gailly","20.4",""
"Richard Strauss","1627","Belgien","Gailly CD 87 131","","bgidsenstrauss","KOB","Carpe Diem Musikverlag","39,90","CD87131","","","","Gailly","20.4",""
